saldo_corrente,duracao_emp_meses,historico_credito,motivo,quantia,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,outro_credito,residencia,qtd_emprestimos_existentes,emprego,dependentes,telefone,inadimplente
1 - 200 DM,9.0,muito bom,carro,5129,< 100 DM,> 7 anos,2.0,4.0,74,banco,outros,1,gerencial,2,sim,sim
1 - 200 DM,16.0,critico,carro,1175,< 100 DM,desempregado,2.0,3.0,68,nenhum,outros,3,desempregado,1,sim,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,674,100 - 500 DM,4 - 7 anos,4.0,1.0,20,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,18.0,perfeito,moveis/eletrodomesticos,3244,< 100 DM,1 - 4 anos,1.0,4.0,33,banco,propria,2,qualificado,1,sim,nao
desconhecido,24.0,bom,negocios,4591,> 1000 DM,1 - 4 anos,2.0,3.0,54,nenhum,propria,3,gerencial,1,sim,sim
1 - 200 DM,48.0,perfeito,negocios,3844,100 - 500 DM,4 - 7 anos,4.0,4.0,34,nenhum,outros,1,nao-qualificado,2,nao,sim
1 - 200 DM,27.0,bom,negocios,3915,< 100 DM,1 - 4 anos,4.0,2.0,36,nenhum,propria,1,qualificado,2,sim,sim
desconhecido,6.0,bom,moveis/eletrodomesticos,2108,< 100 DM,4 - 7 anos,2.0,2.0,29,nenhum,alugada,1,qualificado,1,nao,nao
1 - 200 DM,45.0,bom,moveis/eletrodomesticos,3031,100 - 500 DM,1 - 4 anos,4.0,4.0,21,nenhum,alugada,1,qualificado,1,nao,sim
1 - 200 DM,9.0,critico,educacao,1501,< 100 DM,> 7 anos,2.0,3.0,34,nenhum,propria,2,gerencial,1,sim,sim
desconhecido,6.0,critico,moveis/eletrodomesticos,1382,< 100 DM,1 - 4 anos,1.0,1.0,28,nenhum,propria,2,qualificado,1,sim,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,951,100 - 500 DM,< 1 ano,4.0,4.0,27,banco,alugada,4,qualificado,1,nao,sim
1 - 200 DM,24.0,bom,carro,2760,desconhecido,> 7 anos,4.0,4.0,36,banco,outros,1,qualificado,1,sim,nao
1 - 200 DM,18.0,ruim,moveis/eletrodomesticos,4297,< 100 DM,> 7 anos,4.0,3.0,40,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,9.0,critico,educacao,936,500 - 1000 DM,> 7 anos,4.0,2.0,52,nenhum,propria,2,qualificado,1,sim,nao
< 0 DM,12.0,bom,carro,1168,< 100 DM,1 - 4 anos,4.0,3.0,27,nenhum,propria,1,nao-qualificado,1,nao,nao
desconhecido,27.0,ruim,negocios,5117,< 100 DM,4 - 7 anos,3.0,4.0,26,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,12.0,bom,educacao,902,< 100 DM,4 - 7 anos,4.0,4.0,21,nenhum,alugada,1,qualificado,1,nao,sim
desconhecido,12.0,critico,carro,1495,< 100 DM,> 7 anos,4.0,1.0,38,nenhum,propria,2,nao-qualificado,2,nao,nao
< 0 DM,30.0,critico,carro,10623,< 100 DM,> 7 anos,3.0,4.0,38,nenhum,outros,3,gerencial,2,sim,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,1935,< 100 DM,> 7 anos,4.0,4.0,43,nenhum,propria,3,qualificado,1,sim,nao
1 - 200 DM,12.0,critico,moveis/eletrodomesticos,1424,< 100 DM,4 - 7 anos,4.0,3.0,26,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,24.0,bom,negocios,6568,< 100 DM,1 - 4 anos,2.0,2.0,21,loja,propria,1,nao-qualificado,1,nao,nao
desconhecido,12.0,bom,carro,1413,> 1000 DM,4 - 7 anos,3.0,2.0,55,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,9.0,critico,moveis/eletrodomesticos,3074,desconhecido,1 - 4 anos,1.0,2.0,33,nenhum,propria,2,qualificado,2,nao,nao
desconhecido,36.0,bom,moveis/eletrodomesticos,3835,desconhecido,> 7 anos,2.0,4.0,45,nenhum,propria,1,nao-qualificado,1,sim,nao
< 0 DM,27.0,perfeito,negocios,5293,< 100 DM,desempregado,2.0,4.0,50,loja,propria,2,qualificado,1,sim,sim
> 200 DM,30.0,ruim,negocios,1908,< 100 DM,> 7 anos,4.0,4.0,66,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,36.0,critico,moveis/eletrodomesticos,3342,desconhecido,> 7 anos,4.0,2.0,51,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,6.0,critico,educacao,932,desconhecido,4 - 7 anos,1.0,3.0,39,nenhum,propria,2,nao-qualificado,1,nao,nao
< 0 DM,18.0,perfeito,negocios,3104,< 100 DM,4 - 7 anos,3.0,1.0,31,banco,propria,1,qualificado,1,sim,nao
> 200 DM,36.0,bom,moveis/eletrodomesticos,3913,< 100 DM,1 - 4 anos,2.0,2.0,23,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,3021,< 100 DM,1 - 4 anos,2.0,2.0,24,nenhum,alugada,1,nao-qualificado,1,nao,nao
desconhecido,10.0,bom,carro,1364,< 100 DM,1 - 4 anos,2.0,4.0,64,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,625,< 100 DM,< 1 ano,4.0,1.0,26,banco,propria,1,nao-qualificado,1,nao,nao
< 0 DM,12.0,bom,educacao,1200,desconhecido,1 - 4 anos,4.0,4.0,23,banco,alugada,1,qualificado,1,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,707,< 100 DM,1 - 4 anos,4.0,2.0,30,banco,propria,2,qualificado,1,nao,nao
desconhecido,24.0,ruim,negocios,2978,desconhecido,1 - 4 anos,4.0,4.0,32,nenhum,propria,2,qualificado,2,sim,nao
desconhecido,15.0,bom,carro,4657,< 100 DM,1 - 4 anos,3.0,2.0,30,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,36.0,perfeito,renovacao,2613,< 100 DM,1 - 4 anos,4.0,2.0,27,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,48.0,bom,moveis/eletrodomesticos,10961,> 1000 DM,4 - 7 anos,1.0,2.0,27,banco,propria,2,qualificado,1,sim,sim
< 0 DM,12.0,bom,moveis/eletrodomesticos,7865,< 100 DM,> 7 anos,4.0,4.0,53,nenhum,outros,1,gerencial,1,sim,sim
desconhecido,9.0,bom,moveis/eletrodomesticos,1478,< 100 DM,4 - 7 anos,4.0,2.0,22,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,24.0,bom,moveis/eletrodomesticos,3149,< 100 DM,< 1 ano,4.0,1.0,22,banco,outros,1,qualificado,1,nao,nao
> 200 DM,36.0,bom,moveis/eletrodomesticos,4210,< 100 DM,1 - 4 anos,4.0,2.0,26,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,9.0,bom,carro,2507,500 - 1000 DM,> 7 anos,2.0,4.0,51,nenhum,outros,1,nao-qualificado,1,nao,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,2141,100 - 500 DM,4 - 7 anos,3.0,1.0,35,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,866,< 100 DM,1 - 4 anos,4.0,2.0,25,nenhum,propria,1,nao-qualificado,1,nao,nao
desconhecido,4.0,critico,moveis/eletrodomesticos,1544,< 100 DM,4 - 7 anos,2.0,1.0,42,nenhum,propria,3,nao-qualificado,2,nao,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,1823,< 100 DM,desempregado,4.0,2.0,30,loja,propria,1,gerencial,2,nao,sim
1 - 200 DM,6.0,bom,carro,14555,desconhecido,desempregado,1.0,2.0,23,nenhum,propria,1,desempregado,1,sim,sim
1 - 200 DM,21.0,bom,negocios,2767,100 - 500 DM,> 7 anos,4.0,2.0,61,banco,alugada,2,nao-qualificado,1,nao,sim
desconhecido,12.0,critico,moveis/eletrodomesticos,1291,< 100 DM,1 - 4 anos,4.0,2.0,35,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,30.0,bom,moveis/eletrodomesticos,2522,< 100 DM,> 7 anos,1.0,3.0,39,nenhum,propria,1,qualificado,2,nao,nao
< 0 DM,24.0,bom,carro,915,desconhecido,> 7 anos,4.0,2.0,29,banco,propria,1,qualificado,1,nao,sim
desconhecido,6.0,bom,moveis/eletrodomesticos,1595,< 100 DM,4 - 7 anos,3.0,2.0,51,nenhum,propria,1,qualificado,2,nao,nao
< 0 DM,48.0,perfeito,carro,4605,< 100 DM,> 7 anos,3.0,4.0,24,nenhum,outros,2,qualificado,2,nao,sim
desconhecido,12.0,critico,negocios,1185,< 100 DM,1 - 4 anos,3.0,2.0,27,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,12.0,muito bom,educacao,3447,500 - 1000 DM,1 - 4 anos,4.0,3.0,35,nenhum,propria,1,nao-qualificado,2,nao,nao
desconhecido,24.0,bom,negocios,1258,< 100 DM,4 - 7 anos,4.0,1.0,25,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,717,< 100 DM,> 7 anos,4.0,4.0,52,nenhum,propria,3,qualificado,1,nao,nao
desconhecido,6.0,perfeito,carro,1204,100 - 500 DM,1 - 4 anos,4.0,1.0,35,banco,alugada,1,qualificado,1,nao,nao
> 200 DM,24.0,bom,moveis/eletrodomesticos,1925,< 100 DM,1 - 4 anos,2.0,2.0,26,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,433,< 100 DM,desempregado,3.0,4.0,22,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,6.0,critico,carro,666,> 1000 DM,4 - 7 anos,3.0,4.0,39,nenhum,propria,2,nao-qualificado,1,sim,nao
> 200 DM,12.0,bom,moveis/eletrodomesticos,2251,< 100 DM,1 - 4 anos,1.0,2.0,46,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,30.0,bom,carro,2150,< 100 DM,1 - 4 anos,4.0,2.0,24,banco,propria,1,qualificado,1,nao,sim
desconhecido,24.0,ruim,moveis/eletrodomesticos,4151,100 - 500 DM,1 - 4 anos,2.0,3.0,35,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,9.0,bom,moveis/eletrodomesticos,2030,desconhecido,4 - 7 anos,2.0,1.0,24,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,60.0,ruim,moveis/eletrodomesticos,7418,desconhecido,1 - 4 anos,1.0,1.0,27,nenhum,propria,1,nao-qualificado,1,nao,nao
desconhecido,24.0,critico,moveis/eletrodomesticos,2684,< 100 DM,1 - 4 anos,4.0,2.0,35,nenhum,propria,2,nao-qualificado,1,nao,nao
< 0 DM,12.0,muito bom,moveis/eletrodomesticos,2149,< 100 DM,1 - 4 anos,4.0,1.0,29,nenhum,outros,1,qualificado,1,nao,sim
desconhecido,15.0,bom,carro,3812,100 - 500 DM,< 1 ano,1.0,4.0,23,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,11.0,critico,moveis/eletrodomesticos,1154,100 - 500 DM,desempregado,4.0,4.0,57,nenhum,propria,3,nao-qualificado,1,nao,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,1657,< 100 DM,1 - 4 anos,2.0,2.0,27,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,1603,< 100 DM,> 7 anos,4.0,4.0,55,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,18.0,critico,carro,5302,< 100 DM,> 7 anos,2.0,4.0,36,nenhum,outros,3,gerencial,1,sim,nao
desconhecido,12.0,critico,educacao,2748,< 100 DM,> 7 anos,2.0,4.0,57,banco,outros,3,nao-qualificado,1,nao,nao
desconhecido,10.0,critico,carro,1231,< 100 DM,> 7 anos,3.0,4.0,32,nenhum,propria,2,nao-qualificado,2,nao,nao
1 - 200 DM,15.0,bom,moveis/eletrodomesticos,802,< 100 DM,> 7 anos,4.0,3.0,37,nenhum,propria,1,qualificado,2,nao,sim
desconhecido,36.0,critico,negocios,6304,desconhecido,> 7 anos,4.0,4.0,36,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,1533,< 100 DM,< 1 ano,4.0,3.0,38,loja,propria,1,qualificado,1,sim,nao
< 0 DM,14.0,bom,carro,8978,< 100 DM,> 7 anos,1.0,4.0,45,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,24.0,bom,moveis/eletrodomesticos,999,desconhecido,> 7 anos,4.0,2.0,25,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,bom,carro,2662,desconhecido,4 - 7 anos,4.0,3.0,32,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,1402,500 - 1000 DM,4 - 7 anos,3.0,4.0,37,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,48.0,muito bom,carro,12169,desconhecido,desempregado,4.0,4.0,36,nenhum,outros,1,gerencial,1,sim,nao
1 - 200 DM,48.0,bom,moveis/eletrodomesticos,3060,< 100 DM,4 - 7 anos,4.0,4.0,28,nenhum,propria,2,qualificado,1,nao,sim
< 0 DM,30.0,bom,renovacao,11998,< 100 DM,< 1 ano,1.0,1.0,34,nenhum,propria,1,nao-qualificado,1,sim,sim
desconhecido,9.0,bom,moveis/eletrodomesticos,2697,< 100 DM,1 - 4 anos,1.0,2.0,32,nenhum,propria,1,qualificado,2,nao,nao
desconhecido,18.0,critico,moveis/eletrodomesticos,2404,< 100 DM,1 - 4 anos,2.0,2.0,26,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,1262,desconhecido,> 7 anos,2.0,4.0,49,nenhum,propria,1,nao-qualificado,1,sim,nao
desconhecido,6.0,bom,moveis/eletrodomesticos,4611,< 100 DM,< 1 ano,1.0,4.0,32,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,24.0,bom,moveis/eletrodomesticos,1901,100 - 500 DM,1 - 4 anos,4.0,4.0,29,nenhum,alugada,1,gerencial,1,sim,nao
desconhecido,15.0,critico,carro,3368,> 1000 DM,> 7 anos,3.0,4.0,23,nenhum,alugada,2,qualificado,1,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,1574,< 100 DM,1 - 4 anos,4.0,2.0,50,nenhum,propria,1,qualificado,1,nao,nao
> 200 DM,18.0,muito bom,moveis/eletrodomesticos,1445,desconhecido,4 - 7 anos,4.0,4.0,49,banco,propria,1,nao-qualificado,1,nao,nao
desconhecido,15.0,critico,moveis/eletrodomesticos,1520,desconhecido,> 7 anos,4.0,4.0,63,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,24.0,critico,carro,3878,100 - 500 DM,< 1 ano,4.0,2.0,37,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,47.0,bom,carro,10722,< 100 DM,< 1 ano,1.0,1.0,35,nenhum,propria,1,nao-qualificado,1,sim,nao
< 0 DM,48.0,bom,carro,4788,< 100 DM,4 - 7 anos,4.0,3.0,26,nenhum,propria,1,qualificado,2,nao,nao
1 - 200 DM,48.0,ruim,carr0,7582,100 - 500 DM,desempregado,2.0,4.0,31,nenhum,outros,1,gerencial,1,sim,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1092,< 100 DM,1 - 4 anos,4.0,4.0,49,nenhum,propria,2,qualificado,1,sim,nao
< 0 DM,24.0,ruim,moveis/eletrodomesticos,1024,< 100 DM,< 1 ano,4.0,4.0,48,loja,propria,1,qualificado,1,nao,sim
desconhecido,12.0,bom,negocios,1076,< 100 DM,1 - 4 anos,2.0,2.0,26,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,36.0,bom,carro,9398,< 100 DM,< 1 ano,1.0,4.0,28,nenhum,alugada,1,gerencial,1,sim,sim
< 0 DM,24.0,critico,carro,6419,< 100 DM,> 7 anos,2.0,4.0,44,nenhum,outros,2,gerencial,2,sim,nao
> 200 DM,42.0,critico,carro,4796,< 100 DM,> 7 anos,4.0,4.0,56,nenhum,outros,1,qualificado,1,nao,nao
desconhecido,48.0,critico,negocios,7629,desconhecido,> 7 anos,4.0,2.0,46,banco,propria,2,gerencial,2,nao,nao
1 - 200 DM,48.0,bom,moveis/eletrodomesticos,9960,< 100 DM,< 1 ano,1.0,2.0,26,nenhum,propria,1,qualificado,1,sim,sim
desconhecido,12.0,bom,carro,4675,desconhecido,< 1 ano,1.0,4.0,20,nenhum,alugada,1,qualificado,1,nao,nao
desconhecido,10.0,bom,carro,1287,desconhecido,> 7 anos,4.0,2.0,45,nenhum,propria,1,nao-qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,2515,< 100 DM,1 - 4 anos,3.0,4.0,43,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,21.0,critico,moveis/eletrodomesticos,2745,> 1000 DM,4 - 7 anos,3.0,2.0,32,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,6.0,bom,carro,672,< 100 DM,desempregado,1.0,4.0,54,nenhum,propria,1,desempregado,1,sim,nao
1 - 200 DM,36.0,perfeito,moveis/eletrodomesticos,3804,< 100 DM,1 - 4 anos,4.0,1.0,42,nenhum,propria,1,qualificado,1,sim,sim
> 200 DM,24.0,critico,carro,1344,desconhecido,4 - 7 anos,4.0,2.0,37,banco,propria,2,nao-qualificado,2,nao,sim
< 0 DM,10.0,critico,carro,1038,< 100 DM,4 - 7 anos,4.0,3.0,49,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,48.0,critico,carro,10127,500 - 1000 DM,1 - 4 anos,2.0,2.0,44,banco,outros,1,qualificado,1,nao,sim
desconhecido,6.0,bom,moveis/eletrodomesticos,1543,> 1000 DM,1 - 4 anos,4.0,2.0,33,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,30.0,bom,carro,4811,desconhecido,4 - 7 anos,2.0,4.0,24,loja,alugada,1,nao-qualificado,1,nao,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,727,100 - 500 DM,< 1 ano,4.0,3.0,33,nenhum,propria,1,nao-qualificado,1,sim,sim
1 - 200 DM,8.0,bom,moveis/eletrodomesticos,1237,< 100 DM,1 - 4 anos,3.0,4.0,24,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,9.0,bom,carro,276,< 100 DM,1 - 4 anos,4.0,4.0,22,nenhum,alugada,1,nao-qualificado,1,nao,nao
1 - 200 DM,48.0,bom,carr0,5381,desconhecido,desempregado,3.0,4.0,40,banco,outros,1,desempregado,1,sim,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,5511,100 - 500 DM,1 - 4 anos,4.0,1.0,25,loja,propria,1,qualificado,1,nao,nao
> 200 DM,24.0,bom,moveis/eletrodomesticos,3749,< 100 DM,< 1 ano,2.0,4.0,26,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,carro,685,< 100 DM,4 - 7 anos,2.0,3.0,25,banco,propria,1,nao-qualificado,1,nao,sim
> 200 DM,4.0,bom,carro,1494,desconhecido,< 1 ano,1.0,2.0,29,nenhum,propria,1,nao-qualificado,2,nao,nao
< 0 DM,36.0,muito bom,moveis/eletrodomesticos,2746,< 100 DM,> 7 anos,4.0,4.0,31,banco,propria,1,qualificado,1,nao,sim
< 0 DM,12.0,bom,moveis/eletrodomesticos,708,< 100 DM,1 - 4 anos,2.0,3.0,38,nenhum,propria,1,nao-qualificado,2,nao,nao
1 - 200 DM,24.0,bom,moveis/eletrodomesticos,4351,desconhecido,1 - 4 anos,1.0,4.0,48,nenhum,propria,1,nao-qualificado,1,sim,nao
desconhecido,12.0,critico,educacao,701,< 100 DM,1 - 4 anos,4.0,2.0,32,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,15.0,ruim,moveis/eletrodomesticos,3643,< 100 DM,> 7 anos,1.0,4.0,27,nenhum,propria,2,nao-qualificado,1,nao,nao
1 - 200 DM,30.0,critico,carro,4249,< 100 DM,desempregado,4.0,2.0,28,nenhum,propria,2,gerencial,1,nao,sim
< 0 DM,24.0,bom,moveis/eletrodomesticos,1938,< 100 DM,< 1 ano,4.0,3.0,32,nenhum,propria,1,qualificado,1,nao,sim
< 0 DM,24.0,bom,carro,2910,< 100 DM,4 - 7 anos,2.0,1.0,34,nenhum,outros,1,gerencial,1,sim,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,2659,> 1000 DM,1 - 4 anos,4.0,2.0,28,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,18.0,critico,carro,1028,< 100 DM,1 - 4 anos,4.0,3.0,36,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,8.0,critico,carro,3398,< 100 DM,4 - 7 anos,1.0,4.0,39,nenhum,propria,2,nao-qualificado,1,nao,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,5801,desconhecido,> 7 anos,2.0,4.0,49,nenhum,alugada,1,qualificado,1,sim,nao
desconhecido,24.0,bom,carro,1525,> 1000 DM,4 - 7 anos,4.0,3.0,34,nenhum,propria,1,qualificado,2,sim,nao
> 200 DM,36.0,bom,moveis/eletrodomesticos,4473,< 100 DM,> 7 anos,4.0,2.0,31,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,6.0,bom,moveis/eletrodomesticos,1068,< 100 DM,> 7 anos,4.0,4.0,28,nenhum,propria,1,qualificado,2,nao,nao
< 0 DM,24.0,critico,carro,6615,< 100 DM,desempregado,2.0,4.0,75,nenhum,outros,2,gerencial,1,sim,nao
desconhecido,18.0,critico,educacao,1864,100 - 500 DM,1 - 4 anos,4.0,2.0,30,nenhum,propria,2,qualificado,1,nao,sim
1 - 200 DM,60.0,bom,carro,7408,100 - 500 DM,< 1 ano,4.0,2.0,24,nenhum,propria,1,gerencial,1,nao,sim
desconhecido,48.0,critico,carro,11590,100 - 500 DM,1 - 4 anos,2.0,4.0,24,banco,alugada,2,nao-qualificado,1,nao,sim
< 0 DM,24.0,perfeito,moveis/eletrodomesticos,4110,< 100 DM,> 7 anos,3.0,4.0,23,banco,alugada,2,qualificado,2,nao,sim
< 0 DM,6.0,critico,moveis/eletrodomesticos,3384,< 100 DM,1 - 4 anos,1.0,4.0,44,nenhum,alugada,1,gerencial,1,sim,sim
1 - 200 DM,13.0,bom,moveis/eletrodomesticos,2101,< 100 DM,< 1 ano,2.0,4.0,23,nenhum,propria,1,nao-qualificado,1,nao,nao
< 0 DM,15.0,bom,moveis/eletrodomesticos,1275,desconhecido,1 - 4 anos,4.0,2.0,24,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,24.0,bom,moveis/eletrodomesticos,4169,< 100 DM,1 - 4 anos,4.0,4.0,28,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,10.0,bom,moveis/eletrodomesticos,1521,< 100 DM,1 - 4 anos,4.0,2.0,31,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,24.0,critico,educacao,5743,< 100 DM,< 1 ano,2.0,4.0,24,nenhum,outros,2,qualificado,1,sim,nao
< 0 DM,21.0,bom,moveis/eletrodomesticos,3599,< 100 DM,4 - 7 anos,1.0,4.0,26,nenhum,alugada,1,nao-qualificado,1,nao,nao
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,3213,500 - 1000 DM,< 1 ano,1.0,3.0,25,nenhum,alugada,1,qualificado,1,nao,nao
1 - 200 DM,18.0,bom,negocios,4439,< 100 DM,> 7 anos,1.0,1.0,33,banco,propria,1,gerencial,1,sim,nao
> 200 DM,10.0,bom,carro,3949,< 100 DM,< 1 ano,1.0,1.0,37,nenhum,propria,1,nao-qualificado,2,nao,nao
desconhecido,15.0,critico,moveis/eletrodomesticos,1459,< 100 DM,1 - 4 anos,4.0,2.0,43,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,13.0,critico,moveis/eletrodomesticos,882,< 100 DM,< 1 ano,4.0,4.0,23,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,24.0,bom,moveis/eletrodomesticos,3758,500 - 1000 DM,desempregado,1.0,4.0,23,nenhum,alugada,1,desempregado,1,nao,nao
desconhecido,6.0,ruim,negocios,1743,100 - 500 DM,1 - 4 anos,1.0,2.0,34,nenhum,propria,2,nao-qualificado,1,nao,nao
1 - 200 DM,9.0,critico,educacao,1136,> 1000 DM,> 7 anos,4.0,3.0,32,nenhum,outros,2,qualificado,2,nao,sim
desconhecido,9.0,bom,moveis/eletrodomesticos,1236,< 100 DM,< 1 ano,1.0,4.0,23,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,9.0,bom,moveis/eletrodomesticos,959,< 100 DM,1 - 4 anos,1.0,2.0,29,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,18.0,critico,carro,3229,desconhecido,desempregado,2.0,4.0,38,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,12.0,perfeito,moveis/eletrodomesticos,6199,< 100 DM,1 - 4 anos,4.0,2.0,28,nenhum,alugada,2,qualificado,1,sim,sim
desconhecido,10.0,bom,educacao,727,500 - 1000 DM,> 7 anos,4.0,4.0,46,nenhum,outros,1,qualificado,1,sim,nao
1 - 200 DM,24.0,bom,carro,1246,< 100 DM,< 1 ano,4.0,2.0,23,loja,propria,1,nao-qualificado,1,nao,sim
desconhecido,12.0,critico,moveis/eletrodomesticos,2331,desconhecido,> 7 anos,1.0,4.0,49,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,36.0,ruim,moveis/eletrodomesticos,4463,< 100 DM,1 - 4 anos,4.0,2.0,26,nenhum,propria,2,gerencial,1,sim,sim
desconhecido,12.0,bom,moveis/eletrodomesticos,776,< 100 DM,1 - 4 anos,4.0,2.0,28,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,30.0,bom,moveis/eletrodomesticos,2406,< 100 DM,4 - 7 anos,4.0,4.0,23,nenhum,alugada,1,qualificado,1,nao,sim
1 - 200 DM,18.0,bom,educacao,1239,desconhecido,1 - 4 anos,4.0,4.0,61,nenhum,outros,1,qualificado,1,nao,nao
> 200 DM,12.0,bom,moveis/eletrodomesticos,3399,desconhecido,> 7 anos,2.0,3.0,37,nenhum,propria,1,gerencial,1,nao,nao
> 200 DM,12.0,ruim,carro,2247,< 100 DM,1 - 4 anos,2.0,2.0,36,loja,propria,2,qualificado,1,sim,nao
desconhecido,6.0,bom,moveis/eletrodomesticos,1766,< 100 DM,1 - 4 anos,1.0,2.0,21,nenhum,alugada,1,qualificado,1,nao,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,2473,< 100 DM,desempregado,4.0,1.0,25,nenhum,propria,1,desempregado,1,nao,sim
desconhecido,12.0,bom,negocios,1542,< 100 DM,4 - 7 anos,2.0,4.0,36,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,18.0,critico,carro,3850,< 100 DM,4 - 7 anos,3.0,1.0,27,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,3650,< 100 DM,< 1 ano,1.0,4.0,22,nenhum,alugada,1,qualificado,1,nao,nao
< 0 DM,36.0,bom,moveis/eletrodomesticos,3446,< 100 DM,> 7 anos,4.0,2.0,42,nenhum,propria,1,qualificado,2,nao,sim
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,3001,< 100 DM,4 - 7 anos,2.0,4.0,40,nenhum,alugada,1,qualificado,1,nao,nao
desconhecido,36.0,bom,carro,3079,desconhecido,1 - 4 anos,4.0,4.0,36,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,18.0,critico,moveis/eletrodomesticos,6070,< 100 DM,> 7 anos,3.0,4.0,33,nenhum,propria,2,qualificado,1,sim,nao
